 	Area	Mean	Min	Max
2149	344064	328.009	280	882
2150	344064	327.643	280	959
2151	344064	327.502	278	1003
2152	344064	327.347	276	947
2153	344064	327.286	280	892
2154	344064	327.430	278	889
2155	344064	327.778	274	1012
2156	344064	327.716	279	913
2157	344064	879.779	694	4095
2158	344064	881.714	701	4095
2159	344064	882.401	695	4095
2160	344064	883.267	698	4095
2161	344064	884.286	697	4095
2162	344064	730.401	571	4095
2163	344064	731.303	566	4095
2164	344064	727.724	569	4095
2165	344064	727.129	562	4095
2166	344064	726.593	565	4095
2167	344064	481.249	393	4095
2168	344064	481.132	387	4095
2169	344064	481.528	391	4095
2170	344064	481.422	390	4095
2171	344064	482.276	388	4095
2172	344064	391.836	325	4095
2173	344064	392.410	327	4095
2174	344064	391.225	326	4095
2175	344064	390.608	329	4095
2176	344064	390.284	329	4095
2177	344064	354.300	299	4095
2178	344064	354.300	300	4095
2179	344064	353.722	302	4095
2180	344064	354.039	301	4095
2181	344064	354.076	299	4095
2182	344064	353.680	302	4095
2183	344064	353.259	299	4095
2184	344064	352.494	298	4095
2185	344064	403.146	336	4095
2186	344064	426.368	352	4095
2187	344064	430.659	358	4095
2188	344064	431.998	357	4095
2189	344064	432.032	354	4095
2190	344064	432.408	353	4095
2191	344064	432.644	355	4095
2192	344064	432.604	356	4095
2193	344064	432.580	360	4095
2194	344064	432.386	359	4095
2195	344064	432.413	356	4095
2196	344064	431.790	356	4095
2197	344064	432.057	354	4095
2198	344064	432.122	356	4095
2199	344064	431.987	360	4095
2200	344064	433.141	360	4095
2201	344064	431.340	353	4095
2202	344064	431.466	357	4095
2203	344064	431.600	357	4095
2204	344064	431.136	359	4095
2205	344064	431.424	355	4095
2206	344064	432.262	357	4095
2207	344064	431.349	354	4095
2208	344064	432.297	356	4095
2209	344064	431.406	359	4095
2210	344064	430.962	358	4095
2211	344064	431.656	357	4095
2212	344064	431.444	357	4095
2213	344064	431.079	356	4095
2214	344064	431.274	351	4095
2215	344064	431.163	359	4095
2216	344064	430.983	353	4095
2217	344064	431.083	355	4095
2218	344064	430.537	351	4095
2219	344064	430.721	356	4095
2220	344064	430.717	359	4095
2221	344064	430.759	354	4095
2222	344064	431.960	356	4095
2223	344064	430.945	353	4095
2224	344064	431.067	353	4095
2225	344064	430.940	355	4095
2226	344064	431.052	357	4095
2227	344064	431.100	352	4095
2228	344064	430.942	356	4095
2229	344064	431.121	354	4095
2230	344064	430.509	351	4095
2231	344064	430.604	357	4095
2232	344064	430.392	355	4095
2233	344064	430.840	351	4095
2234	344064	432.151	361	4095
2235	344064	430.760	356	4095
2236	344064	430.665	357	4095
2237	344064	430.718	357	4095
2238	344064	430.016	356	4095
2239	344064	430.282	356	4095
2240	344064	430.434	356	4095
2241	344064	431.122	359	4095
2242	344064	431.099	358	4095
2243	344064	430.626	351	4095
2244	344064	430.290	355	4095
2245	344064	430.304	357	4095
2246	344064	430.071	354	4095
2247	344064	430.283	352	4095
2248	344064	430.033	356	4095
2249	344064	430.163	355	4095
2250	344064	429.967	353	4095
2251	344064	429.775	356	4095
2252	344064	429.751	355	4095
2253	344064	430.444	357	4095
2254	344064	430.739	356	4095
2255	344064	860.628	673	4095
2256	344064	865.215	679	4095
2257	344064	863.247	673	4095
2258	344064	864.498	678	4095
2259	344064	864.890	677	4095
2260	344064	705.587	522	4095
2261	344064	706.315	528	4095
2262	344064	703.802	524	4095
2263	344064	703.669	526	4095
2264	344064	703.326	527	4095
2265	344064	469.596	366	4095
2266	344064	469.631	369	4095
2267	344064	469.774	368	4095
2268	344064	469.703	371	4095
2269	344064	470.229	367	4095
2270	344064	384.213	315	4095
2271	344064	384.194	313	4095
2272	344064	383.753	313	4095
2273	344064	383.413	315	4095
2274	344064	382.813	312	4095
2275	344064	348.455	277	4095
2276	344064	348.102	274	4095
2277	344064	347.846	271	4095
2278	344064	347.926	276	4095
2279	344064	348.232	274	4095
2280	344064	347.453	276	4095
2281	344064	347.010	272	4095
2282	344064	346.350	278	4095
2283	344064	436.296	325	4095
2284	344064	492.566	352	4095
2285	344064	502.037	365	4095
2286	344064	506.654	364	4095
2287	344064	508.369	362	4095
2288	344064	510.839	366	4095
2289	344064	511.395	369	4095
2290	344064	511.833	366	4095
2291	344064	512.014	367	4095
2292	344064	512.380	369	4095
2293	344064	512.764	355	4095
2294	344064	512.441	361	4095
2295	344064	513.108	364	4095
2296	344064	513.371	371	4095
2297	344064	513.215	369	4095
2298	344064	514.199	366	4095
2299	344064	513.312	370	4095
2300	344064	513.334	367	4095
2301	344064	513.405	368	4095
2302	344064	513.131	368	4095
2303	344064	514.205	367	4095
2304	344064	514.569	367	4095
2305	344064	514.405	363	4095
2306	344064	514.821	371	4095
2307	344064	514.074	372	4095
2308	344064	513.519	371	4095
2309	344064	514.329	371	4095
2310	344064	514.446	372	4095
2311	344064	513.778	367	4095
2312	344064	514.184	367	4095
2313	344064	514.259	365	4095
